ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Nettigo,Mounted
1,2.4_TFT_ILI9341_XPT2046_SPI,U1,2.4 TFT ILI9341 XPT2046 SPI,1,?,,Nettigo,,,ili9341-24-touch,Yes
2,ESP32-DevKitC,U2,ESP32_DOIT_DEVKIT_D23,1,?,,,,,,Yes
3,TP4056,TP4056-1,TP4056 MH,1,TP4056,,,,,,Yes
4,PAM8403,U3,AMPLIFIER-PAM8403,1,PAM8403,,,,,,Yes
5,UP,KEY1,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
6,RIGHT,KEY2,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
7,DOWN,KEY3,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
8,LEFT,KEY4,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
9,SELECT,KEY5,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
10,START,KEY6,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
11,B,KEY7,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
12,A,KEY8,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
13,MENU,KEY9,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
14,VOL+,KEY10,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
15,100k,"R4,R5,R11,R12",R1206,4,?,,,,,,Yes
16,1k,"R1,R13",R1206,2,?,,,,,,Yes
17,LED-3MM,LED1,LED(SMD),1,204-10SURD/S530-A3,EVERLIGHT,LCSC,C99772,,,Yes
18,VOL-,KEY11,KEY-6.0*6.0-2,1,TS-1102-5016,SOFNG,LCSC,C111609,,,Yes
19,10k,"R2,R3,R6,R7,R8,R9,R10",R1206,7,?,,,,,,Yes
20,1u,"C2,C3",C_5MM,2,?,,,,,,Yes
21,PJ-307C,J2,AUDIO-PJ307C,1,PJ-307C,BOOMELE,LCSC,C16684,,,Yes
22,AUDIO,PAD1,SOLDER_PAD2,1,?,,,,,,Yes
23,SPK+,PAD2,SOLDER_PAD2,1,?,,,,,,Yes
24,SPK-,PAD3,SOLDER_PAD2,1,?,,,,,,Yes
25,3V3,PAD4,SOLDER_PAD2,1,?,,,,,,Yes
26,GND,PAD5,SOLDER_PAD2,1,?,,,,,,Yes
27,DC-DC_CONVERTER_BOOST,U5,DC-DC_BOOST,1,?,,,,,,Yes
28,2N3904,Q1,SOT-23_1,1,2N3904,SEMTECH,LCSC,C118538,,,Yes
29,BAT_CONN+,PAD7,SOLDER_PAD2,1,?,,,,,,Yes
30,BAT_CONN -,PAD8,SOLDER_PAD2,1,?,,,,,,Yes
31,5V,PAD6,SOLDER_PAD2,1,?,,,,,,Yes
32,slide switch,S1,SIDE SWITCH 3 POLE 2.54,1,?,,,,,,Yes
33,0.1u,C1,C_5MM,1,?,,,,,,Yes
34,2N3904,P1,HDR-3X1/2.54,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,,,Yes
